person_slug,person_name,start_date,end_date,start_reason,end_reason,election_id,election,confirmed,source
andrew-grierson-i,Andrew Grierson (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
arthur-edmondston,Arthur Edmondston,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
george-linklater,George Linklater,1818-04-02,1818-07-05,elected,died,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-gauden,Gilbert Gauden,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-greig,James Greig,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-mouat-i,James Mouat (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
james-scott,James Scott,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
john-morrison-i,John Morrison (i),1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
robert-deans,Robert Deans,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-angus,William Angus,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
william-hay,William Hay,1818-04-02,1820-09-07,elected,term_expired,1,Lerwick Town Council Election April 1818,1,Confirmed Apr 2026 composition research (per-row source not recorded)
arthur-edmondston,Arthur Edmondston,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
balfour-spence,Balfour Spence,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-duncan,Gilbert Duncan,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
gilbert-gauden,Gilbert Gauden,1820-09-07,1823-09-04,elected,term_expired,2,Lerwick Town Council Election September 1820,1,Confirmed Apr 2026 composition research (per-row source not recorded)
