slug,findagrave_id
adam-halcrow-i,202734797
adam-halcrow-ii,179137869
adam-jamieson,179137476
alex-arthur,195675044
alexander-hay,175882926
alexander-irvine,163057244
alexander-manson,259426354
alexander-mitchell-i,179949206
alexander-mitchell-ii,179949099
alexander-morrison,214369227
alexander-nicol,175856301
alexander-tulloch,179949289
alfred-stove,179138460
andrew-anderson,178584075
andrew-clark,178995933
andrew-garriock,292691994
andrew-grierson-ii,181925156
andrew-irvine-ii,284528731
andrew-nicolson,284536335
andrew-riddell,290831437
andrew-smith,259417274
angus-gunn,179137815
anthony-anderson,178837136
archibald-greig,163057227
arthur-anderson,163057282
arthur-edmondston,175626382
arthur-hay,290621113
arthur-irvine-i,197377343
arthur-irvine-ii,255726431
arthur-johnson,179138451
arthur-laing,289887228
arthur-laurenson,163057239
arthur-nicolson-i,175881252
arthur-white,179138215
barbara-anderson,179137625
basil-neven-spence,175852698
catherine-anderson,288999091
cecil-eunson-i,166072257
charles-duncan,290620113
charles-goodlad,196366195
charles-hoseason,175854883
charles-mitchell,163057276
charles-robertson,290650617
charles-stout,179137691
david-gray-ii,291202948
david-leask,290622659
david-murray,287523880
david-sutherland,179947214
david-williamson,163057273
donald-sutherland,166072266
edward-adie,175970485
edward-thomason,292906114
edwyn-tait,163057284
eric-gray,214397113
erling-clausen,290702442
florence-grains,285734543
francis-pottinger,179137735
fraser-peterson,179138017
frederick-tait,289026706
george-blance,214369251
george-burgess,203599160
george-duffin,290676348
george-hay,163057268
george-jamieson,291847702
george-kay,166072321
george-laurence,269948555
george-leslie-i,284534630
george-morrison,245844647
george-nelson,179137548
george-smith-i,176126080
george-smith-ii,184606144
george-spence,179953719
george-tait,163057287
gilbert-harrison,175911653
gilbert-paterson,163057192
gilbert-tait,291929036
harry-drever,214682803
harry-gray,214369179
henry-mouat,288872223
henry-stewart,175747602
herbert-anderton,179947203
hugh-robertson,214369426
hugh-sutherland,255755848
hugh-williamson,291847928
isaac-cowie,175653685
james-adie,179138084
james-aitken,176068255
james-anderson-i,261020098
james-anderson-ii,178996022
james-anderson-iii,284529621
james-anderson-iv,295664657
james-bairnson,179138360
james-bowie,295674697
james-budge-i,179138269
james-campbell,179138420
james-goodlad,179138491
james-gordon,179138376
james-greig,163057225
james-grierson,106456049
james-halcrow,179949299
james-hay,179137951
james-henry,262732655
james-hunter-i,163057246
james-hunter-ii,163057195
james-hunter-iii,288609764
james-hunter-iv,295673393
james-irvine-i,185610746
james-jamieson-i,288397204
james-jamieson-ii,179947343
james-johnson,287983254
james-mainland,290835744
james-manson,155802660
james-matches,120862286
james-morrison,285456097
james-mouat-iii,179953606
james-nicolson-i,179138534
james-nicolson-ii,216695452
james-paton-i,290836564
james-peterson,287143237
james-pottinger-ii,120393470
james-pottinger-iii,284526131
james-shearer,292642475
james-smith-i,202663152
james-smith-ii,179137392
jemima-walterson,195894644
joan-mcleod,179137890
john-anderson,182210487
john-butler,292342561
john-campbell-i,166072294
john-cowie,175967472
john-goudie,179138298
john-graham,295041231
john-harrison-i,179947228
john-harrison-ii,179947272
john-hughson,175653600
john-inkster-ii,202747633
john-irvine-ii,179138540
john-irvine-iii,176096921
john-jamieson,290592715
john-johnson,260955024
john-leisk,175853107
john-leslie-ii,185393217
john-love,283255729
john-morrison-i,175653558
john-nicolson,284523629
john-ogilvy,290640360
john-pearson-i,290232917
john-pearson-ii,255833898
john-rae,255834014
john-robertson-i,290623430
john-robertson-ii,290654210
john-robertson-iv,175911768
john-smith-ii,260954136
john-sutherland,178996135
john-tait,207847981
john-tulloch-i,163057241
john-tulloch-iv,295392733
john-williamson-ii,261022562
john-williamson-iii,179138521
joseph-leask,269969226
joseph-peterson-ii,287152773
laurence-anderson,179137751
laurence-bruce-ii,179953901
laurence-cogle,215970614
laurence-edmondston,175852586
laurence-laurenson-i,163057235
laurence-laurenson-ii,107102150
laurence-laurenson-iii,179137842
laurence-robertson-i,179138187
laurence-smith,285904351
laurence-stove,214369359
lewis-garriock,175652867
lindsay-robertson,175911786
magnus-flaws-i,179138367
magnus-manson,284529812
peter-anderson,285738865
peter-dalziel,292294896
peter-garriock-i,290620551
peter-georgeson,179954246
peter-goodlad,290900907
peter-hunter,290865596
peter-laurenson,216686113
peter-robertson,290831306
prophet-smith,288403730
raymond-bentley,179138380
robert-anderson-i,214625417
robert-balfour,289012768
robert-black,288364877
robert-bruce,288878991
robert-coutts,292023888
robert-ganson-ii,178362988
robert-garrick,295673222
robert-henderson-ii,179138235
robert-hunter-i,163057197
robert-hunter-ii,288609893
robert-inkster,179137424
robert-isbister,184994942
robert-jamieson-i,179947323
robert-johnson-i,179138552
robert-johnson-ii,216847545
robert-linklater,163057209
robert-ollason,214369391
robert-ramsay,291574510
robert-smith,290829225
samuel-fordyce,179138480
samuel-hunter,163057194
selina-garriock,175625832
sinclair-duncan,195782381
theodore-andrew,270027656
thomas-anderson-ii,178996255
thomas-gifford,284880822
thomas-gilbertson,175856805
thomas-irvine-ii,216266143
thomas-johnston-i,274926386
thomas-manson-ii,163057266
thomas-sandison,182190864
william-adie,179138031
william-anderson-i,175858384
william-bruce-i,181925184
william-bruce-ii,291529387
william-clark-ii,182022107
william-conochie,216659999
william-cumming,120393449
william-duncan-ii,196135758
william-hamilton,289470593
william-hay,175653514
william-henry,179949271
william-levie,175853548
william-mcdougall,179138346
william-merrylees,176070770
william-pole,175853432
william-robertson,291860939
william-sievwright-i,175653712
william-sinclair,179137798
william-smith-ii,290655038
william-spence,205467575
william-thomson-ii,215498646
william-tulloch,163057253
zachary-hamilton,175970989
